occ_code,task,penetration
25-1011.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1067.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1111.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1126.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1124.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1122.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1061.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1113.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1062.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1051.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1123.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1043.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1193.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1064.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1063.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1082.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1125.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
25-1065.00,"Evaluate and grade students' class work, assignments, and papers.",0.9483
41-9031.00,"Provide technical and non-technical support and services to clients or other staff members regarding the use, operation, and maintenance of equipment.",0.9482
51-7032.00,"Compute dimensions, areas, volumes, and weights.",0.9482
11-9039.02,"Use computer skills and software to manage Web sites or databases, publish newsletters, or provide webinars.",0.9476
41-3031.03,"Devise trading, option, or hedge strategies.",0.9476
13-1121.00,Evaluate and select providers of services according to customer requirements.,0.9475
19-2032.00,"Prepare reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors, such as sponsors and customers.",0.9475
43-4111.00,Identify and report problems in obtaining valid data.,0.9473
15-1122.00,Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures.,0.947
11-9199.01,"Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",0.9467
41-3031.03,"Inform other traders, managers, or customers of market conditions, including volume, price, competition, or dynamics.",0.9467
29-1161.00,Write information in medical records or provide narrative summaries to communicate patient information to other health care providers.,0.9464
19-4011.02,"Compute moisture or salt content, percentages of ingredients, formulas, or other product factors, using mathematical and chemical procedures.",0.9462
41-3041.00,"Plan, describe, arrange, and sell itinerary tour packages and promotional travel incentives offered by various travel carriers.",0.9462
13-2052.00,Monitor financial market trends to ensure that client plans are responsive.,0.9462
47-2061.00,"Read plans, instructions, or specifications to determine work activities.",0.9461
29-2011.00,Analyze laboratory findings to check the accuracy of the results.,0.946
39-6012.00,"Provide information about local features, such as shopping, dining, nightlife, or recreational destinations.",0.9458
43-4161.00,Process and review employment applications to evaluate qualifications or eligibility of applicants.,0.9456
15-1199.10,"Improve search-related activities through ongoing analysis, experimentation, or optimization tests, using A/B or multivariate methods.",0.945
13-1081.02,Maintain databases of logistics information.,0.9449
43-9031.00,"Enter text into computer keyboard and select the size and style of type, column width, and appropriate spacing for printed materials.",0.9448
15-2041.00,"Report results of statistical analyses, including information in the form of graphs, charts, and tables.",0.9446
15-1199.07,Create or implement metadata processes and frameworks.,0.9444
25-2054.00,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",0.9441
25-2023.00,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",0.9441
25-2032.00,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",0.9441
25-2053.00,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",0.9441
25-2022.00,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",0.9441
25-2031.00,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",0.9441
25-2021.00,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",0.9441
11-9121.00,"Review project activities and prepare and review research, testing, or operational reports.",0.944
15-1121.00,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",0.9439
13-2071.00,"Create debt management plans, spending plans, or budgets to assist clients to meet financial goals.",0.9436
19-1029.01,Develop new software applications or customize existing applications to meet specific scientific project needs.,0.9433
41-2021.00,Recommend and provide advice on a wide variety of products and services.,0.9431
19-2043.00,"Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",0.943
25-2054.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2023.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2022.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2051.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2031.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2052.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2053.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2021.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2032.00,"Observe and evaluate students' performance, behavior, social development, and physical health.",0.9429
25-2051.00,"Present information in audio-visual or interactive formats, using computers, television, audio-visual aids, or other equipment, materials, or technologies.",0.9423
25-1123.00,Assist students who need extra help with their coursework outside of class.,0.9421
43-3011.00,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visits to solicit payment.",0.9421
25-1042.00,Assist students who need extra help with their coursework outside of class.,0.9421
41-2011.00,"Answer customers' questions, and provide information on procedures or policies.",0.942
27-2012.04,Read scripts and confer with producers to determine the types and numbers of performers required for a given production.,0.9414
13-1071.00,"Evaluate recruitment or selection criteria to ensure conformance to professional, statistical, or testing standards, recommending revisions, as needed.",0.9414
27-1013.00,"Monitor events, trends, and other circumstances, research specific subject areas, attend art exhibitions, and read art publications to develop ideas and keep current on art world activities.",0.941
19-2011.00,"Analyze research data to determine its significance, using computers.",0.941
39-3091.00,"Provide information about facilities, entertainment options, and rules and regulations.",0.941
15-1143.00,"Maintain networks by performing activities such as file addition, deletion, or backup.",0.9408
19-2041.00,"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples.",0.9407
43-9111.01,Write computer programs or scripts to be used in querying databases.,0.9406
15-1199.10,Optimize Web site exposure by analyzing search engine patterns to direct online placement of keywords or other content.,0.9405
29-2051.00,"Plan menus or diets or guide individuals or families in food selection, preparation, or menu planning, based upon nutritional needs and established guidelines.",0.9401
13-1161.00,"Gather data on competitors and analyze their prices, sales, and method of marketing and distribution.",0.9399
41-3031.01,Offer advice on the purchase or sale of particular securities.,0.9398
27-3031.00,"Plan or conduct market or public opinion research to test products or determine potential for product success, communicating results to client or management.",0.9393
19-3022.00,Conduct research to gather information about survey topics.,0.938
19-3092.00,Write and present reports of research findings.,0.9377
19-3031.03,"Collect information about individuals or clients, using interviews, case histories, observational techniques, and other assessment methods.",0.9375
13-2011.01,Establish tables of accounts and assign entries to proper accounts.,0.9373
23-2011.00,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",0.937
13-1071.00,Review employment applications and job orders to match applicants with job requirements.,0.9369
25-3099.02,"Review class material with students by discussing text, working solutions to problems, or reviewing worksheets or other assignments.",0.9368
13-1081.01,"Provide logistics technology or information for effective and efficient support of product, equipment, or system manufacturing or service.",0.936
13-2041.00,Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,0.9359
11-3071.03,Analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.9354
29-1171.00,"Analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",0.9354
15-1199.12,"Search electronic sources, such as databases or repositories, or manual sources for information.",0.9353
15-1199.07,"Map data between source systems, data warehouses, and data marts.",0.9351
15-1142.00,"Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",0.9351
19-4021.00,Analyze experimental data and interpret results to write reports and summaries of findings.,0.935
43-9031.00,"Import text and art elements, such as electronic clip art or electronic files from photographs that have been scanned or produced with a digital camera, using computer software.",0.9347
25-1112.00,"Evaluate and grade students' class work, assignments, papers, and oral presentations.",0.9345
25-1054.00,"Prepare and deliver lectures to undergraduate or graduate students on topics such as quantum mechanics, particle physics, and optics.",0.9345
27-1011.00,Create custom illustrations or other graphic elements.,0.9341
27-4032.00,Program computerized graphic effects.,0.934
27-1014.00,"Design complex graphics and animation, using independent judgment, creativity, and computer equipment.",0.934
15-1199.08,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",0.9337
27-4031.00,"Compose and frame each shot, applying the technical aspects of light, lenses, film, filters, and camera settings to achieve the effects sought by directors.",0.9335
43-9031.00,"Edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching.",0.9332
19-4061.00,Design and create special programs for tasks such as statistical analysis and data entry and cleaning.,0.9327
25-9031.01,"Analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",0.9326
19-1029.01,Test new and updated bioinformatics tools and software.,0.9325
41-3031.02,"Sell services or equipment, such as trusts, investments, or check processing services.",0.9323
13-1081.01,Propose logistics solutions for customers.,0.932
49-1011.00,Develop or implement electronic maintenance programs or computer information management systems.,0.9319
43-3031.00,"Compile statistical, financial, accounting, or auditing reports and tables pertaining to such matters as cash receipts, expenditures, accounts payable and receivable, and profits and losses.",0.9318
15-1199.10,Optimize shopping cart experience or Web site conversion rates against Key Performance Indicators (KPIs).,0.9315
27-3031.00,"Study the objectives, promotional policies, or needs of organizations to develop public relations strategies that will influence public opinion or promote ideas, products, or services.",0.9314
27-2011.00,"Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.",0.9313
27-1014.00,"Script, plan, and create animated narrative sequences under tight deadlines, using computer software and hand drawing techniques.",0.9312
49-9041.00,Enter codes and instructions to program computer-controlled machinery.,0.9311
15-1199.07,"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",0.9306
15-1199.10,"Collect and analyze Web metrics, such as visits, time on site, page views per visit, transaction volume and revenue, traffic mix, click-through rates, conversion rates, cost per acquisition, or cost per click.",0.9304
11-9199.01,Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,0.9301
13-2071.01,"Counsel clients on personal and family financial problems, such as excessive spending or borrowing of funds.",0.9301
11-9039.02,Provide individual support or counseling in general wellness or nutrition.,0.9299
43-4061.00,Answer applicants' questions about benefits and claim procedures.,0.9294
27-2032.00,"Develop ideas for creating dances, keeping notes and sketches to record influences.",0.9293
15-1152.00,"Analyze network data to determine network usage, disk space availability, or server function.",0.9292
13-1041.07,Interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,0.9287
19-2012.00,Design computer simulations to model physical data so that it can be better understood.,0.9286
11-1021.00,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0.9284
25-1051.00,"Review papers or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.",0.9279
19-4061.00,"Prepare, manipulate, and manage extensive databases.",0.9277
17-2199.03,Promote awareness or use of alternative or renewable energy sources.,0.9275
25-1051.00,Answer questions from the public and media.,0.9273
15-1121.01,"Develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.",0.9269
15-1131.00,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",0.9269
43-9022.00,"Reformat documents, moving paragraphs or columns.",0.9266
25-4031.00,Compile bibliographies and prepare abstracts on subjects of interest to particular organizations or groups.,0.9264
19-2031.00,"Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.9262
21-1014.00,"Collect information about clients through interviews, observation, or tests.",0.9251
15-1151.00,Answer user inquiries regarding computer software or hardware operation to resolve problems.,0.925
13-1121.00,"Monitor event activities to ensure compliance with applicable regulations and laws, satisfaction of participants, and resolution of any problems that arise.",0.9249
19-4061.00,"Prepare tables, graphs, fact sheets, and written reports summarizing research results.",0.9247
11-3031.02,Recruit staff members.,0.9241
25-4031.00,"Conduct reference searches, using printed materials and in-house and online databases.",0.9241
15-1121.00,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",0.9237
15-2041.00,Report results of statistical analyses in peer-reviewed papers and technical manuals.,0.9237
29-1069.07,Examine microscopic samples to identify diseases or other abnormalities.,0.9234
19-1029.03,Search scientific literature to select and modify methods and procedures most appropriate for genetic research goals.,0.9231
25-4012.00,Provide information from the institution's holdings to other curators and to the public.,0.923
51-4012.00,Modify existing programs to enhance efficiency.,0.9224
15-1199.08,"Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.",0.9223
15-2041.00,"Process large amounts of data for statistical modeling and graphic analysis, using computers.",0.9223
15-1199.04,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements.",0.9221
15-2031.00,"Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.",0.9221
13-1161.00,"Measure the effectiveness of marketing, advertising, and communications programs and strategies.",0.9216
19-2041.03,Examine societal issues and their relationship with both technical systems and the environment.,0.9216
41-3021.00,Confer with clients to obtain and provide information when claims are made on a policy.,0.9216
51-6062.00,Program electronic equipment.,0.9215
51-6063.00,Program electronic equipment.,0.9215
15-1131.00,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,0.9214
13-1199.04,"Analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",0.9213
27-1022.00,Read scripts and consult directors and other production staff to develop design concepts and plan productions.,0.9206
17-1021.00,Build and update digital databases.,0.9206
41-3011.00,Prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising.,0.9203
25-4021.00,"Search standard reference materials, including online sources and the Internet, to answer patrons' reference questions.",0.9202
11-3031.01,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",0.9197
29-1069.01,"Develop individualized treatment plans for patients, considering patient preferences, clinical data, or the risks and benefits of therapies.",0.9194
43-5021.00,Plan and follow the most efficient routes for delivering goods.,0.9192
27-2012.01,Write and edit news stories from information collected by reporters and other sources.,0.9186
15-1199.06,Plan and install upgrades of database management system software to enhance database performance.,0.9184
19-3032.00,"Develop new business by contacting potential clients, making sales presentations, and writing proposals.",0.9179
27-3031.00,"Plan or direct development or communication of programs to maintain favorable public or stockholder perceptions of an organization's accomplishments, agenda, or environmental responsibility.",0.9177
15-1199.11,Collaborate with artists to achieve appropriate visual style.,0.9177
11-9199.07,"Write or review security-related documents, such as incident reports, proposals, and tactical or strategic initiatives.",0.9176
43-5061.00,"Examine documents, materials, or products and monitor work processes to assess completeness, accuracy, and conformance to standards and specifications.",0.9175
25-2052.00,"Present information in audio-visual or interactive formats, using computers, televisions, audio-visual aids, or other equipment, materials, or technologies.",0.9171
15-1143.00,Develop and implement solutions for network problems.,0.9166
11-2021.00,Conduct economic or commercial surveys to identify potential markets for products or services.,0.9165
11-9061.00,"Review financial statements, sales or activity reports, or other performance data to identify opportunities for cost reductions or service improvements.",0.9164
19-4061.01,"Research, compile, analyze and organize information from maps, reports, investigations, and books for use in reports and special projects.",0.9162
41-9021.00,Act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.9162
25-1062.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1054.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1123.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1011.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1051.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1067.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1126.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1193.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1112.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1125.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1122.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1065.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1072.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1052.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1021.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1121.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1053.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1064.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1031.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1032.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1042.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1192.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1113.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1066.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1041.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1063.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1071.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1081.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-1111.00,"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.9157
25-3099.02,"Provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.",0.9154
13-2072.00,"Market bank products to individuals and firms, promoting bank services that may meet customers' needs.",0.9151
41-3021.00,"Customize insurance programs to suit individual customers, often covering a variety of risks.",0.9149
47-2181.00,Estimate materials and labor required to complete roofing jobs.,0.9147
25-2052.00,"Prepare, administer, or grade tests or assignments to evaluate students' progress.",0.9142
15-1142.00,"Design, configure, and test computer hardware, networking software and operating system software.",0.9137
25-1051.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1125.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1082.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1081.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1122.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1067.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
27-4031.00,"Edit video for broadcast productions, including non-linear editing.",0.9134
25-1041.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1043.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1124.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1052.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1066.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1053.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1042.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1112.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1032.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1193.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1123.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1065.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1061.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1054.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1031.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1063.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1071.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1064.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1126.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1011.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1072.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1113.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1192.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1111.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1022.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1062.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
25-1121.00,"Compile, administer, and grade examinations, or assign this work to others.",0.9134
29-1171.00,Provide patients or caregivers with assistance in locating health care resources.,0.9133
19-2021.00,"Gather data from sources such as surface or upper air stations, satellites, weather bureaus, or radar for use in meteorological reports or forecasts.",0.9127
29-1069.10,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",0.9126
15-1199.05,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software.",0.9125
19-4031.00,"Set up and conduct chemical experiments, tests, and analyses, using techniques such as chromatography, spectroscopy, physical or chemical separation techniques, or microscopy.",0.9124
13-2099.01,Interpret results of financial analysis procedures.,0.9108
13-2011.01,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",0.9107
17-2072.00,Provide technical support or instruction to staff or customers regarding electronics equipment standards.,0.9107
13-2071.01,Review billing for accuracy.,0.9103
17-2199.08,"Document robotic application development, maintenance, or changes.",0.9102
25-1123.00,"Prepare and deliver lectures to undergraduate or graduate students on topics such as poetry, novel structure, and translation and adaptation.",0.9101
15-1199.09,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",0.91
13-2011.02,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.",0.9099
19-3041.00,Analyze and interpret data to increase the understanding of human social behavior.,0.9099
11-3061.00,Prepare reports regarding market conditions and merchandise costs.,0.9099
15-1132.00,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.9097
45-2092.01,"Provide information and advice to the public regarding the selection, purchase, and care of products.",0.9095
13-1199.04,"Prepare reports summarizing operational results, financial performance, or accomplishments of specified objectives, goals, or plans.",0.9084
25-4011.00,"Select and edit documents for publication and display, applying knowledge of subject, literary expression, and presentation techniques.",0.9079
13-1151.00,"Evaluate training materials prepared by instructors, such as outlines, text, or handouts.",0.9079
33-1021.02,"Perform administrative duties, such as compiling and maintaining records, completing forms, preparing reports, or composing correspondence.",0.9074
15-1121.01,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",0.9072
21-1012.00,"Counsel students regarding educational issues, such as course and program selection, class scheduling and registration, school adjustment, truancy, study habits, and career planning.",0.9064
15-1134.00,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",0.9054
19-2041.00,"Plan or develop research models, using knowledge of mathematical and statistical concepts.",0.9053
11-3061.00,"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",0.9049
25-2021.00,Organize and label materials and display students' work.,0.9044
25-2053.00,Organize and label materials and display students' work.,0.9044
25-2022.00,Organize and label materials and display students' work.,0.9044
27-2012.01,"Research production topics using the internet, video archives, and other informational sources.",0.9042
27-3021.00,"Select material most pertinent to presentation, and organize this material into appropriate formats.",0.904
15-1151.00,Modify and customize commercial programs for internal needs.,0.9038
51-5111.00,"Enter, position, and alter text size, using computers, to make up and arrange pages so that printed materials can be produced.",0.9033
17-2072.00,"Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.",0.9032
29-1021.00,"Advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.9032
13-2082.00,"Check data input or verify totals on forms prepared by others to detect errors in arithmetic, data entry, or procedures.",0.903
11-9199.02,Verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,0.9029
19-2042.00,"Locate and review research articles or environmental, historical, or technical reports.",0.9026
19-1029.02,"Conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste.",0.9024
25-1194.00,"Select and assemble books, materials, supplies, and equipment for training, courses, or projects.",0.9023
21-2021.00,"Locate and distribute resources, such as periodicals or curricula, to enhance the effectiveness of educational programs.",0.9023
11-9021.00,"Plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",0.9021
15-1152.00,Troubleshoot network or connectivity problems for users or user groups.,0.9021
27-1012.00,Develop concepts or creative ideas for craft objects.,0.902
27-3042.00,Assist in laying out material for publication.,0.9019
33-3021.06,"Design, use, or maintain databases and software applications, such as geographic information systems (GIS) mapping and artificial intelligence tools.",0.9018
25-1124.00,Prepare and deliver lectures to undergraduate or graduate students on topics such as how to speak and write a foreign language and the cultural aspects of areas where a particular language is used.,0.9016
13-2021.01,"Analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",0.9015
13-2071.00,"Recommend strategies for clients to meet their financial goals, such as borrowing money through loans or loan programs, declaring bankruptcy, making budget adjustments, or enrolling in debt management plans.",0.9015
15-1199.09,"Identify, review, or select vendors or consultants to meet project needs.",0.9014
17-2199.08,"Design software to control robotic systems for applications, such as military defense or manufacturing.",0.9012
19-3031.01,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems.",0.9009
43-4161.00,"Process, verify, and maintain personnel related documentation, including staffing, recruitment, training, grievances, performance evaluations, classifications, and employee leaves of absence.",0.9009
19-1029.03,"Analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",0.9008
25-4012.00,Plan and conduct special research projects in area of interest or expertise.,0.9006
13-2099.03,Analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,0.9006
43-3021.02,"Prepare itemized statements, bills, or invoices and record amounts due for items purchased or services rendered.",0.9002
19-1022.00,"Examine physiological, morphological, and cultural characteristics, using microscope, to identify and classify microorganisms in human, water, and food specimens.",0.9002
25-1021.00,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",0.8997
25-1053.00,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",0.8997
25-1032.00,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",0.8997
25-1042.00,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",0.8997
25-1041.00,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",0.8997
25-1054.00,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",0.8997
25-1066.00,"Evaluate and grade students' class work, laboratory work, assignments, and papers.",0.8997
13-2052.00,Explain to clients the personal financial advisor's responsibilities and the types of services to be provided.,0.8997
27-3043.05,"Write humorous material for publication, or for performances such as comedy routines, gags, and comedy shows.",0.8988
15-1111.00,"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",0.8987
13-1041.02,"Prepare reports of activities, evaluations, recommendations, or decisions.",0.8986
13-2099.01,"Apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",0.8975
13-2052.00,Answer clients' questions about the purposes and details of financial plans and strategies.,0.8974
25-1082.00,"Conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences.",0.8971
